STUDY_ID,PROFILE_ID,NAME,DESCRIPTION,DATATYPE
ov_tcga_pub,ov_tcga_pub_mrna,mRNA expression (all genes),"mRNA expression values, median values from all three mRNA expression platforms.",CONTINUOUS
ov_tcga_pub,ov_tcga_pub_mrna_median_Zscores,mRNA expression Z-scores (all genes),"mRNA expression Z-scores compared to diploid tumors (diploid for each gene), median values from all three mRNA expression platforms.",Z-SCORE
ov_tcga_pub,ov_tcga_pub_mirna,microRNA expression,expression levels for microRNAs.,CONTINUOUS
ov_tcga_pub,ov_tcga_pub_mirna_median_Zscores,microRNA expression Z-scores,microRNA expression Z-scores compared to all tumors.,Z-SCORE
ov_tcga_pub,ov_tcga_pub_mrna_merged_median_Zscores,mRNA/miRNA expression Z-scores (all genes),"mRNA and microRNA Z-scores merged: mRNA expression Z-scores compared to diploid tumors (diploid for each gene), median values from all three mRNA expression platforms; and miRNA z-Scores compared to all tumours.",Z-SCORE
coad_cptac_2019,coad_cptac_2019_mirna,microRNA expression,"miRNA expression for tumor samples (RPM, Log2(n+1))",CONTINUOUS
coad_cptac_2019,coad_cptac_2019_mirna_median_Zscores,microRNA expression Z-scores,microRNA expression Z-scores compared to all tumors.,Z-SCORE
mel_ucla_2016,mel_ucla_2016_rna_seq_mrna,mRNA expression (RNA-Seq),Expression levels (RNA-Seq FPKM),CONTINUOUS
mel_ucla_2016,mel_ucla_2016_rna_seq_mrna_median_Zscores,mRNA expression z-scores (RNA-Seq),Expression levels z-scores (RNA-Seq FPKM),Z-SCORE
all_phase2_target_2018_pub,all_phase2_target_2018_pub_rna_seq_mrna,mRNA expression (RNA-Seq RPKM),Expression levels for 26136 genes in 203 all cases (RNA-Seq RPKM).,CONTINUOUS
all_phase2_target_2018_pub,all_phase2_target_2018_pub_rna_seq_mrna_median_Zscores,mRNA Expression z-Scores (RNA Seq RPKM),mRNA z-Scores (RNA Seq RPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
all_phase2_target_2018_pub,all_phase2_target_2018_pub_mrna,mRNA expression (microarray),mRNA expression levels (Affymetrix microarray),CONTINUOUS
all_phase2_target_2018_pub,all_phase2_target_2018_pub_mrna_median_Zscores,mRNA Expression z-Scores (microarray),mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
all_phase2_target_2018_pub,all_phase2_target_2018_pub_mirna,microRNA expression,Expression levels for microRNAs.,CONTINUOUS
sarc_tcga_pub,sarc_tcga_pub_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),Expression levels for 20532 genes in 264 soft_tissue cases (RNA Seq V2 RSEM).,CONTINUOUS
sarc_tcga_pub,sarc_tcga_pub_rna_seq_v2_mrna_median_Zscores,mRNA Expression z-Scores relative to diploid samples (RNA Seq V2 RSEM),mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
sarc_tcga_pub,sarc_tcga_pub_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
skcm_mskcc_2014,skcm_mskcc_2014_rna_seq_mrna,mRNA expression (RNA-Seq RPKM),Expression levels for TARGET ALL Phase II Discovery cases (RNA-Seq RPKM).,CONTINUOUS
skcm_mskcc_2014,skcm_mskcc_2014_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq FPKM),mRNA expression z-scores (RNA Seq FPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
skcm_mskcc_2014,skcm_mskcc_2014_rna_seq_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq RPKM),Log-transformed mRNA z-scores compared to the expression distribution of all samples (RNA Seq RPKM).,Z-SCORE
rt_target_2018_pub,rt_target_2018_pub_rna_seq_mrna,mRNA expression (RNA-Seq RPKM),Expression levels for 26136 genes in 47 RT cases (RNA-Seq RPKM).,CONTINUOUS
rt_target_2018_pub,rt_target_2018_pub_rna_seq_mrna_median_Zscores,mRNA Expression z-Scores relative to diploid samples (RNA Seq RPKM),mRNA z-Scores (RNA Seq RPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
rt_target_2018_pub,rt_target_2018_pub_mirna,microRNA expression,Expression levels for microRNAs.,CONTINUOUS
rt_target_2018_pub,rt_target_2018_pub_mirna_median_Zscores,microRNA expression Z-scores,microRNA expression Z-scores compared to all tumors.,Z-SCORE
rt_target_2018_pub,rt_target_2018_pub_rna_seq_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq RPKM),Log-transformed mRNA z-scores compared to the expression distribution of all samples (RNA Seq RPKM).,Z-SCORE
skcm_dfci_2015,skcm_dfci_2015_rna_seq_mrna,mRNA expression (RNA-Seq),Expression levels (RNA-Seq FPKM),CONTINUOUS
skcm_dfci_2015,skcm_dfci_2015_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq FPKM),mRNA expression z-scores (RNA Seq FPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
skcm_dfci_2015,skcm_dfci_2015_rna_seq_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq FPKM),Log-transformed mRNA z-scores compared to the expression distribution of all samples (RNA Seq FPKM).,Z-SCORE
sclc_ucologne_2015,sclc_ucologne_2015_rna_seq_mrna,mRNA expression (RNA-Seq),Expression levels (RNA-Seq FPKM),CONTINUOUS
sclc_ucologne_2015,sclc_ucologne_2015_rna_seq_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq FPKM),Log-transformed mRNA z-scores compared to the expression distribution of all samples (RNA Seq FPKM).,Z-SCORE
coadread_tcga_pub,coadread_tcga_pub_rna_seq_mrna,mRNA expression (RNA Seq RPKM),Expression levels (RNA Seq RPKM).,CONTINUOUS
coadread_tcga_pub,coadread_tcga_pub_rna_seq_mrna_median_Zscores,mRNA Expression z-Scores relative to diploid samples (RNA-Seq RPKM),mRNA z-Scores (RNA-Seq RPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
coadread_tcga_pub,coadread_tcga_pub_mrna,mRNA expression (microarray),Expression levels (Agilent microarray).,CONTINUOUS
coadread_tcga_pub,coadread_tcga_pub_mrna_median_Zscores,mRNA Expression z-Scores relative to diploid samples (microarray),mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
coadread_tcga_pub,coadread_tcga_pub_mirna,microRNA expression,expression levels for microRNAs.,CONTINUOUS
coadread_tcga_pub,coadread_tcga_pub_mirna_median_Zscores,microRNA expression Z-scores,microRNA expression Z-scores compared to all tumors.,Z-SCORE
coadread_tcga_pub,coadread_tcga_pub_mrna_merged_median_Zscores,mRNA/miRNA expression Z-scores (all genes),"mRNA and microRNA Z-scores merged: mRNA expression Z-scores compared to diploid tumors (diploid for each gene), median values from all three mRNA expression platforms; and miRNA z-Scores compared to all tumours.",Z-SCORE
coadread_tcga_pub,coadread_tcga_pub_mrna_median_all_sample_Zscores,mRNA expression z-Scores relative to all samples (log microarray),Log-transformed mRNA z-Scores compared to the expression distribution of all samples  (Agilent microarray).,Z-SCORE
coadread_tcga_pub,coadread_tcga_pub_rna_seq_mrna_median_all_sample_Zscores,mRNA expression z-Scores relative to all samples (log RNA-Seq RPKM),Log-transformed mRNA z-Scores compared to the expression distribution of all samples (RNA-Seq RPKM).,Z-SCORE
gbm_tcga_pub,gbm_tcga_pub_mrna,mRNA expression,"mRNA expression levels for 18,698 genes in 503 GBM cases using integrated values from the Affymetrix U133, Affymetrix Exon, and Agilent Platforms.",CONTINUOUS
gbm_tcga_pub,gbm_tcga_pub_mrna_median_Zscores,mRNA Expression z-Scores relative to diploid samples (microarray),"18,698 genes in 503 GBM cases using median expression values from the Affymetrix U133, Affymetrix Exon, and Agilent Platforms. z-Scores are computed relative to the expression distribution of each gene in tumors that are diploid for this gene.",Z-SCORE
gbm_tcga_pub,gbm_tcga_pub_mirna,microRNA expression,expression levels for microRNAs.,CONTINUOUS
gbm_tcga_pub,gbm_tcga_pub_mirna_median_Zscores,microRNA expression Z-scores,microRNA expression Z-scores compared to all tumors.,Z-SCORE
gbm_tcga_pub,gbm_tcga_pub_mrna_merged_median_Zscores,mRNA/miRNA expression Z-scores (all genes),"mRNA and microRNA Z-scores merged: mRNA expression Z-scores compared to diploid tumors (diploid for each gene), median values from all three mRNA expression platforms; and miRNA z-Scores compared to all tumours.",Z-SCORE
gbm_tcga_pub,gbm_tcga_pub_mrna_median_all_sample_Zscores,mRNA expression z-Scores relative to all samples (log microarray),Log-transformed mRNA z-Scores compared to the expression distribution of all samples  (Agilent microarray).,Z-SCORE
brca_tcga_pub,brca_tcga_pub_mrna,mRNA expression (microarray),Expression levels (Agilent microarray).,CONTINUOUS
brca_tcga_pub,brca_tcga_pub_mrna_median_Zscores,mRNA Expression z-Scores relative to diploid samples (microarray),mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
brca_tcga_pub,brca_tcga_pub_mirna,microRNA expression,Expression levels for microRNAs.,CONTINUOUS
brca_tcga_pub,brca_tcga_pub_mirna_median_Zscores,microRNA expression Z-scores,microRNA expression Z-scores compared to all tumors.,Z-SCORE
brca_tcga_pub,brca_tcga_pub_mrna_merged_median_Zscores,mRNA/miRNA expression Z-scores (all genes),"mRNA and microRNA Z-scores merged: mRNA expression Z-scores compared to diploid tumors (diploid for each gene), median values from all three mRNA expression platforms; and miRNA z-Scores compared to all tumours.",Z-SCORE
brca_tcga_pub,brca_tcga_pub_mrna_median_all_sample_Zscores,mRNA expression z-Scores relative to all samples (log microarray),Log-transformed mRNA z-Scores compared to the expression distribution of all samples  (Agilent microarray).,Z-SCORE
brca_metabric,brca_metabric_mrna,mRNA expression (microarray),Expression log intensity levels (Illumina Human v3 microarray),CONTINUOUS
brca_metabric,brca_metabric_mrna_median_Zscores,mRNA expression (microarray) z-Scores relative to diploid samples,mRNA z-Scores (Illumina Human v3 microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
brca_metabric,brca_metabric_mrna_median_all_sample_Zscores,mRNA expression z-Scores relative to all samples (log microarray),Log-transformed mRNA z-Scores compared to the expression distribution of all samples (Illumina Human v3 microarray),Z-SCORE
wt_target_2018_pub,wt_target_2018_pub_rna_seq_mrna,mRNA expression (RNA-Seq RPKM),Expression levels for 26136 genes in 136 wt cases (RNA-Seq RPKM).,CONTINUOUS
wt_target_2018_pub,wt_target_2018_pub_rna_seq_mrna_median_Zscores,mRNA Expression z-Scores relative to diploid samples (RNA-Seq RPKM),mRNA z-Scores (RNA-Seq RPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
wt_target_2018_pub,wt_target_2018_pub_mrna,mRNA expression (microarray),mRNA expression levels (Affymetrix microarray),CONTINUOUS
wt_target_2018_pub,wt_target_2018_pub_mrna_median_Zscores,mRNA Expression z-Scores relative to diploid samples (microarray),mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
wt_target_2018_pub,wt_target_2018_pub_mirna,microRNA expression,Expression levels for microRNAs.,CONTINUOUS
wt_target_2018_pub,wt_target_2018_pub_mrna_median_all_sample_Zscores,mRNA expression z-Scores relative to all samples (log microarray),Log-transformed mRNA z-Scores compared to the expression distribution of all samples  (Agilent microarray).,Z-SCORE
wt_target_2018_pub,wt_target_2018_pub_rna_seq_mrna_median_all_sample_Zscores,mRNA expression z-Scores relative to all samples (log RNA-Seq RPKM),Log-transformed mRNA z-Scores compared to the expression distribution of all samples (RNA-Seq RPKM).,Z-SCORE
stad_tcga_pub,stad_tcga_pub_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
stad_tcga_pub,stad_tcga_pub_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
stad_tcga_pub,stad_tcga_pub_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
ucec_tcga_pub,ucec_tcga_pub_mrna,mRNA expression (microarray),Expression levels for 17190 genes in 54 ucec cases (Agilent microarray).,CONTINUOUS
ucec_tcga_pub,ucec_tcga_pub_mrna_median_Zscores,mRNA Expression z-Scores (microarray),mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
ucec_tcga_pub,ucec_tcga_pub_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
ucec_tcga_pub,ucec_tcga_pub_rna_seq_v2_mrna_median_Zscores,mRNA Expression z-Scores relative to diploid samples (RNA Seq V2 RSEM),mRNA z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
ucec_tcga_pub,ucec_tcga_pub_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
ucec_tcga_pub,ucec_tcga_pub_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log microarray),Log-transformed mRNA z-scores compared to the expression distribution of all samples  (Agilent microarray).,Z-SCORE
mel_tsam_liang_2017,mel_tsam_liang_2017_rna_seq_mrna,mRNA expression,Expression levels.,CONTINUOUS
mel_tsam_liang_2017,mel_tsam_liang_2017_rna_seq_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq FPKM),Log-transformed mRNA z-scores compared to the expression distribution of all samples (RNA Seq FPKM).,Z-SCORE
nbl_target_2018_pub,nbl_target_2018_pub_rna_seq_mrna,mRNA expression (RNA-Seq RPKM),Expression levels for 24946 genes in 144 nbl cases (RNA-Seq RPKM).,CONTINUOUS
nbl_target_2018_pub,nbl_target_2018_pub_rna_seq_mrna_median_Zscores,mRNA Expression z-scores relative to diploid samples (RNA Seq RPKM),mRNA z-Scores (RNA Seq RPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
nbl_target_2018_pub,nbl_target_2018_pub_mirna_median_Zscores,mRNA expression (microarray),mRNA expression levels (Affymetrix microarray),Z-SCORE
nbl_target_2018_pub,nbl_target_2018_pub_mrna_median_Zscores,mRNA Expression z-scores relative to diploid samples (microarray),mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
nbl_target_2018_pub,nbl_target_2018_pub_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log microarray),Log-transformed mRNA z-scores compared to the expression distribution of all samples  (Agilent microarray).,Z-SCORE
nbl_target_2018_pub,nbl_target_2018_pub_rna_seq_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log microarray),Log-transformed mRNA z-scores compared to the expression distribution of all samples (Affymetrix microarray).,Z-SCORE
mbn_mdacc_2013,mbn_mdacc_2013_mrna_U133,mRNA expression (U133 microarray only),mRNA expression data from the Affymetrix U133 microarray.,CONTINUOUS
mbn_mdacc_2013,mbn_mdacc_2013_mrna_U133_all_sample_Zscores,mRNA expression z-scores relative to all samples (log U133 microarray),Log-transformed mRNA z-scores compared to the expression distribution of all samples (U133 microarray only).,Z-SCORE
gbm_mayo_pdx_sarkaria_2019,gbm_mayo_pdx_sarkaria_2019_rna_seq_mrna,mRNA RNAseq RPKM expression,RNAseq RPKM expression,CONTINUOUS
gbm_mayo_pdx_sarkaria_2019,gbm_mayo_pdx_sarkaria_2019_rna_seq_mrna_median_Zscores,mRNA Expression z-scores relative to diploid samples (RNA Seq RPKM),mRNA z-scores (RNA Seq RPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
gbm_mayo_pdx_sarkaria_2019,gbm_mayo_pdx_sarkaria_2019_rna_seq_mrna_median_all_sample_Zscores,mRNA expression z-Scores relative to all samples (log RNA-Seq RPKM),Log-transformed mRNA z-Scores compared to the expression distribution of all samples (RNA-Seq RPKM).,Z-SCORE
blca_tcga_pub,blca_tcga_pub_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
blca_tcga_pub,blca_tcga_pub_rna_seq_mrna_median_Zscores,mRNA expression z-Scores relative to diploid samples (RNA Seq V2 RSEM),mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
blca_tcga_pub,blca_tcga_pub_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-Scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA z-Scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
aml_target_2018_pub,aml_target_2018_pub_rna_seq_mrna,mRNA expression (RNA-Seq RPKM),Expression levels for genes in TARGET-AML Discovery cases (RNA-Seq RPKM).,CONTINUOUS
aml_target_2018_pub,aml_target_2018_pub_mrna,mRNA expression (microarray),mRNA expression levels (Affymetrix microarray),CONTINUOUS
aml_target_2018_pub,aml_target_2018_pub_mirna,microRNA expression,Expression levels for microRNAs.,CONTINUOUS
aml_target_2018_pub,aml_target_2018_pub_mrna_median_all_sample_Zscores,mRNA expression z-Scores relative to all samples (log microarray),Log-transformed mRNA z-Scores compared to the expression distribution of all samples  (Agilent microarray).,Z-SCORE
aml_target_2018_pub,aml_target_2018_pub_rna_seq_mrna_median_all_sample_Zscores,mRNA expression z-Scores relative to all samples (log RNA Seq RPKM),Log-transformed mRNA z-Scores compared to the expression distribution of all samples (RNA Seq RPKM).,Z-SCORE
aml_ohsu_2018,aml_ohsu_2018_rna_seq_mrna,mRNA expression (RNA Seq RPKM),Expression levels for genes in 451 AML cases (RNA Seq RPKM).,CONTINUOUS
aml_ohsu_2018,aml_ohsu_2018_mrna_seq_cpm,mRNA expression (RNA Seq CPM),Expression levels for genes in 451 AML cases (RNA Seq CPM).,CONTINUOUS
aml_ohsu_2018,aml_ohsu_2018_rna_seq_mrna_median_all_sample_Zscores,mRNA expression z-Scores relative to all samples (log RNA Seq RPKM),Log-transformed mRNA z-Scores compared to the expression distribution of all samples (RNA Seq RPKM).,Z-SCORE
aml_ohsu_2018,aml_ohsu_2018_mrna_seq_cpm_all_sample_Zscores,mRNA expression z-Scores relative to all samples (log RNA Seq CPM),Log-transformed mRNA z-Scores compared to the expression distribution of all samples (RNA Seq CPM).,Z-SCORE
laml_tcga_pub,laml_tcga_pub_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
laml_tcga_pub,laml_tcga_pub_rna_seq_v2_mrna_median_Zscores,mRNA expression z-Scores relative to diploid samples (RNA Seq V2 RSEM),mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
laml_tcga_pub,laml_tcga_pub_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-Scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA z-Scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
kirc_tcga_pub,kirc_tcga_pub_mrna,mRNA expression (microarray),Expression levels for 17190 genes in 72 kirc cases (Agilent microarray).,CONTINUOUS
kirc_tcga_pub,kirc_tcga_pub_mrna_median_Zscores,mRNA Expression z-Scores relative to diploid samples (microarray),mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
kirc_tcga_pub,kirc_tcga_pub_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
